ds	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
4481649065_F	0.00444	0	0.02558	0	0	0	0	0	0	0.12053	0.04604	0	0.23585	0.06659	0.00865	0	0	0	0	0	0	0.49231
4481649065_G	0	0.00074	0.05881	0.04762	0	0	0	0	0	0	0.13801	0	0.25877	0.13909	0	0	0	0	0.03862	0	0	0.31835
4481649065_H	0.01289	0	0.00876	0.05781	0	0	0	0	0	0	0.13673	0	0.26436	0.1988	0	0	0	0	0.02588	0	0	0.29478
4481649065_I	0.01829	0	0	0.0114	0	0	0	0	0	0.04189	0.10482	0	0.21731	0.33836	0	0	0	0	0.01648	0	0	0.25145
4481649065_J	0	0	0	0	0	0	0	0	0	0.03832	0.0653	0	0.23546	0.18433	0	0	0	0	0.01265	0	0	0.46394
4481649092_A	0	0	0.00923	0	0	0	0	0	0	0.12014	0.04243	0	0.22685	0.154	0.00223	0	0	0	0	0	0	0.44512
4481649092_B	0	0	0.01931	0.05764	0	0	0	0	0	0.06078	0.05953	0	0.30322	0.09882	0.00146	0	0	0	0	0	0	0.39923
4481649092_C	0	0	0.01528	0	0	0	0	0	0	0.06762	0.08411	0	0.28355	0.15362	0	0	0	0	0.0191	0	0	0.37672
4674281008_A	0	0	0	0.04324	0	0	0	0	0	0.16873	0.06189	0	0.30437	0.11285	0.00253	0	0	0	0.01414	0	0.00044	0.29181
4674281008_D	0	0	0	0	0	0	0	0	0	0.15379	0.02604	0	0.21555	0.30948	0	0	0	0	0.00052	0	0	0.29463
4674281008_E	0	0	0	0	0.00392	0	0	0	0	0.05329	0.08303	0	0.31477	0.12244	0	0	0	0	0.02613	0	0	0.39642
4674281008_F	0	0	0	0.0318	0	0	0	0	0	0.21155	0.02622	0	0.29966	0.13002	0.00348	0	0	0	0.00818	0	0	0.2891
4674281008_K	0	0	0	0	0	0	0	0	0	0.03996	0.11947	0	0.35478	0.10318	0	0	0	0	0.04774	0	0	0.33487
4674281008_L	0	0	0	0.13681	0	0	0	0	0	0.05533	0.12704	0	0.32129	0.08723	0.00934	0	0	0	0.03766	0	0.01442	0.21088
4674281009_C	0.00065	0	0	0	0	0	0	0	0	0.14108	0.0361	0	0.20378	0.20578	0	0	0	0	0.00821	0	0	0.40439
4674281009_D	0	0	0	0	0	0	0	0	0	0.12843	0.00971	0	0.19529	0.22275	0	0	0	0	0.00193	0	0	0.4419
4674281009_E	0.01846	0	0	0	0.01599	0	0	0	0	0.13563	0.03108	0	0.26613	0.10385	0	0	0	0	0.0148	0	0	0.41405
4674281009_F	0	0	0	0	0	0	0	0	0	0.14853	0.01962	0	0.25163	0.21786	0	0	0	0	0.00797	0	0	0.35439
4674281009_G	0	0	0	0.05191	0	0	0	0	0	0.12571	0.07115	0	0.35341	0.15089	0	0	0	0	0.01007	0	0	0.23685
4674281009_I	0	0	0	0.0617	0	0	0	0	0	0.14174	0.08613	0	0.3776	0.09014	0.00278	0	0	0	0.01514	0	0	0.22477
4674281009_L	0.01228	0	0.06409	0	0.02398	0	0	0	0	0.07873	0.09321	0	0.28921	0.1291	0	0	0	0	0.03055	0	0	0.27886
4674281014_A	0	0	0	0	0	0	0	0	0	0.05469	0.06497	0	0.28581	0.21239	0	0	0	0	0.0137	0	0	0.36845
4674281014_B	0	0	0	0	0	0	0	0	0	0.05702	0.07413	0	0.29188	0.23856	0	0	0	0	0.01111	0	0	0.3273
4674281014_C	0	0	0.02435	0.04136	0.00981	0	0	0	0	0.03705	0.06092	0	0.37802	0.06906	0	0	0	0	0	0	0	0.37943
4674281014_D	0	0	0.01581	0.01055	0	0	0	0	0	0.09421	0.06862	0	0.36819	0.04451	0.00468	0	0	0.00229	0	0	0	0.39113
4674281014_E	0	0	0.0082	0.03126	0	0	0	0	0	0.0579	0.06781	0	0.38034	0.0632	0.0072	0	0	0.00243	0	0	0	0.38166
4674281014_F	0	0	0	0.00858	0	0	0	0	0	0.13703	0.05092	0	0.39148	0.03431	0.01001	0	0	0.0098	0.00124	0	0	0.35664
4674281014_G	0	0	0.00866	0	0	0	0	0	0	0.08576	0.06488	0	0.37177	0.06241	0.00705	0	0	0	0	0	0	0.39948
4674281014_H	0.00635	0.01127	0.03902	0.18004	0	0.00243	0	0	0	0	0.07565	0	0.29414	0.07028	0.00217	0	0	0	0.01129	0	0.01784	0.28953
4674281014_I	0.01398	0.00309	0.02496	0.16337	0.00497	0	0	0	0.01584	0	0.07341	0	0.33229	0.06221	0.0043	0	0	0	0.00934	0	0.02925	0.26301
4674281014_J	0.01617	0	0.01281	0.14422	0	0	0	0	0.02553	0	0.07877	0	0.32845	0.10679	0.00689	0	0	0	0.00539	0	0.01563	0.25935
4674281014_K	0.01717	0	0.00966	0.13511	0	0	0	0	0.03535	0.01024	0.0817	0	0.2976	0.10782	0.00174	0	0	0	0.00559	0	0	0.29802
4674281015_B	0.01516	0	0.02186	0.07266	0.01283	0	0	0	0	0.07782	0.0508	0	0.26632	0.06155	0.00246	0	0	0	0.00271	0	0	0.41582
4674281015_C	0	0	0	0.05404	0	0	0	0	0	0.08612	0.12453	0	0.26478	0.13148	0	0	0	0	0	0	0	0.33905
4674281015_D	0	0	0	0.009	0	0	0	0	0	0.13929	0.09234	0	0.27086	0.08861	0	0	0	0	0.00503	0	0	0.39487
4674281015_E	0	0	0	0	0	0	0	0	0	0.11423	0.05353	0	0.26906	0.09597	0	0	0	0	0.00343	0	0	0.46379
4717421005_K	0	0	0	0	0	0	0	0	0	0.0602	0.07661	0	0.37117	0.23561	0	0	0	0	0.02656	0	0.00834	0.22151
4717421005_L	0	0	0.00308	0	0	0	0	0	0	0.07874	0.03856	0	0.41916	0.14577	0	0	0	0	0.00116	0	0	0.31352
4717421050_F	0	0	0	0	0	0	0	0	0	0.0834	0.04398	0	0.1515	0.33375	0	0	0	0	0.01491	0	0	0.37246
4717421050_G	0.00893	0	0.00242	0.08919	0	0	0	0	0	0.06227	0.11166	0	0.33405	0.11387	0.02035	0	0	0	0.01283	0	0	0.24444
4717421050_H	0	0	0	0	0	0	0	0	0	0.03854	0.09711	0	0.37846	0.15807	0	0	0	0	0.02782	0	0	0.3
4717421050_I	0	0	0.00914	0	0	0	0	0	0	0.01727	0.12664	0	0.41278	0.11065	0	0	0	0	0.03195	0	0	0.29157
4717421050_J	0	0.01115	0.05912	0.14684	0	0	0	0	0	0.01615	0.13694	0	0.43923	0.06095	0.02082	0	0	0.00448	0.01066	0	0	0.09365
4717421050_K	0	0	0.00564	0	0	0	0	0	0	0.12072	0.02686	0	0.31124	0.21688	0	0	0	0	0.00187	0	0	0.3168
4717421050_L	0	0	0.02274	0.04061	0	0	0	0	0	0.07904	0.06175	0	0.3671	0.22906	0	0	0	0	0	0	0	0.19969
4717421101_C	0	0	0.04545	0.00927	0	0	0	0	0	0.16469	0.04632	0	0.29038	0.17763	0.00331	0	0	0	6.00E-04	0	0	0.26236
4717421101_D	0	0	0.014	0	0	0	0	0	0	0.14013	0.02238	0	0.33501	0.03585	0.00858	0	0	0	0.0115	0	0	0.43256
4717421101_E	0	0	0.0134	0.0239	0	0	0	0	0	0.09127	0.10279	0	0.38566	0.03758	0.00436	0	0	0.00136	0.00621	0	0	0.33347
4717421101_F	0	0	0.01995	0.04553	0	0	0	0	0	0.077	0.07473	0	0.3873	0.03673	0.00461	0	0	0	0.00851	0	0	0.34564
4717421101_G	0	0	0	0	0	0	0	0	0	0.0057	0.08797	0	0.27879	0.21911	0.00056	0	0	0	0.04256	0	0	0.36531
4717421101_H	0	0	0.00307	0	0	0	0	0	0	0.02049	0.08874	0	0.32764	0.18223	0	0	0	0	0.03879	0	0	0.33904
4717421101_J	0	0	0.01526	0	0	0	0	0	0	0.07759	0.0708	0	0.36154	0.0469	0.00346	0	0	0.01408	0.00684	0	0	0.40352
4717421101_K	0	0	0.02302	0.02353	0.02106	0	0	0	0	0.07021	0.0757	0	0.41839	0	0.00389	0	0	0.01653	0.02137	0	0.00012	0.32618
4717421101_L	0	0	0	0.03601	0	0	0	0	0	0.10369	0.0818	0	0.36753	0.0222	0.01089	0	0	0.00247	0.00418	0	0	0.37122
4950679008_A	0.02612	0	3.00E-04	0.28812	0	0.01606	0	0	0.01597	0	0.15517	0	0.25581	0	0.01126	0	0	0.01636	0	0	0	0.21483
4950679008_B	0.03612	0.00244	0.00287	0.29777	0	0	0	0	0.02371	0	0.1602	0	0.2391	0	0.00959	0	0	0.01439	0	0	0	0.21381
4950679008_C	0.01719	0.00546	0	0.34532	0	0	0	0	0.02021	0	0.11807	0	0.25871	0	0.0111	0	0	0.01708	0	0	0	0.20686
4950679008_D	0.01214	0.01363	0	0.30336	0	0	0	0	0	0	0.16047	0	0.29195	0.00095	0.00903	0	0	0.01188	0	0	0	0.1966
4950679008_E	0	0	0	0.2588	0	0	0	0	0	0	0.2224	0	0.27638	0.00058	0.00727	0	0	0.00812	0	0	0	0.22645
4950679008_F	0	0	0	0.21353	0	0	0	0	0	0	0.21627	0	0.2758	0.01331	0.0075	0	0	0.00199	0	0	0	0.27161
4950679008_G	0.00852	0.01174	0	0.20414	0	0.07966	0	0	0	0	0.12413	0	0.31691	0.00159	0.00669	0	0	0.01091	0	0	0	0.23572
4950679008_H	0.01721	0.00485	0.00258	0.24846	0	0	0	0	0	0	0.20148	0	0.27647	0.00985	0.0072	0	0	0.00464	0	0	0	0.22724
4950679008_I	0	0.0052	0.01375	0.1363	0	0.10951	0	0	0.02805	0	0.15466	0	0.28393	0.01564	0.00743	0	0	0.01409	0	0	0	0.23144
4950679008_J	0.01842	0.00086	0.00821	0.17227	0	0.02931	0	0	0.05218	0	0.13317	0	0.27451	0.03051	9.00E-04	0	0	0	0	0	0	0.27964
4950679008_K	0	0.03871	0.00183	0.28488	0	0	0	0	0	0	0.10831	0	0.28959	0	0.01207	0	0	0.00877	0	0	0	0.25584
4950679008_L	0	0.04145	0.00929	0.24662	0	0	0	0	0.0034	0	0.12577	0	0.30134	0.00717	0.01207	0	0	0.00275	0	0	0	0.25014
4950679034_A	0	0.00333	0	0.25279	0	0	0	0	0	0.01873	0.2025	0	0.23473	0	0.0142	0	0	0.01041	0	0	0	0.26331
4950679034_B	0	0	0	0.24344	0	0	0	0	0	0.00383	0.20253	0	0.24326	0	0.01353	0	0	0.00759	0	0	0	0.28583
4950679034_C	0	0	0	0.24435	0	0.03764	0.00163	0	0.01527	0	0.1968	0	0.23974	0.00451	0.00937	0	0	0.01241	0	0	0	0.23826
4950679034_D	0	0.00352	0.03361	0.19277	0	0.08199	0.00539	0	0	0	0.19592	0	0.20881	0.01541	0.00207	0	0	0.00107	0	0	0	0.25943
4950679034_E	0	0.0291	0	0.26257	0	0.02467	0	0	0	0	0.11037	0	0.38949	0.01626	0.01199	0	0	0.01699	0	0	0	0.13854
4950679034_F	0.00542	0.01188	0.00184	0.23072	0	0.0572	0	0	0	0	0.10922	0	0.33319	0	0.01105	0	0	0.01574	0	0	0	0.22375
4950679034_G	0.00345	0.01493	0	0.24569	0	0	0	0	0	0	0.17496	0	0.28182	0.00951	0.01618	0	0	0.00291	0	0	0	0.25055
4950679034_H	0	0.02975	0.03157	0.25705	0	0	0	0	0	0.00192	0.1356	0	0.31678	0.01215	0.02201	0	0	0.00282	0	0	0	0.19036
4950679034_I	0.00766	0.0076	0.0147	0.20711	0	0	0	0	0	0.01654	0.12279	0	0.2735	0	0.0139	0	0	0.00652	0	0	0	0.32967
4950679034_J	0.01774	0	0.00431	0.24859	0	0	0	0	0.00713	0	0.14557	0	0.27605	0	0.01457	0	0	0.00661	0	0	0	0.27944
4950679034_K	0.01897	0.00458	0.01492	0.19223	0	0	0	0	0.03181	0.00657	0.1523	0	0.27186	0	0.01524	0	0	0.00701	0.00154	0	0	0.28297
4950679034_L	0.00445	0.00665	0.01634	0.17178	0	0	0	0	0.01268	0.00677	0.1506	0	0.26073	0	0.0123	0	0	0.0099	0	0	0	0.3478
4950679036_A	0	0.01241	0.00669	0.30786	0	0	0	0	0	0	0.18812	0	0.27018	0	0.01552	0	0	0.00695	0	0	0	0.19227
4950679036_B	0.01412	0.00795	0.00328	0.29162	0	0	0	0	0	0	0.1359	0	0.23592	9.00E-04	0.0133	0	0	0.00568	0	0	0	0.29133
4950679036_C	0.00162	0	0.00243	0.20213	0	0	0.01051	0	0.01409	0	0.23238	0	0.24719	0.01872	0.00611	0	0	0.0055	0	0	0	0.25934
4950679036_D	0.01837	0	0.01071	0.24368	0	0.00696	0.01455	0	0.0257	0	0.15135	0	0.26993	0	0.00909	0	0	0.01319	0	0	0	0.23647
4950679036_E	0.01329	0	0.00123	0.25163	0	0.07155	0	0	0	0	0.14626	0	0.29301	0.00854	0.01141	0	0	0.01987	0	0	0	0.18321
4950679036_F	0.02609	0	0.01491	0.2729	0	0	0	0	0.04018	0	0.14652	0	0.27697	0.00897	0.01316	0	0	0.01344	0	0	0	0.18686
4950679036_G	0.01918	0	0	0.23343	0	0	0	0	0.01486	0	0.1571	0	0.28664	0	0.01423	0	0	0.02278	0	0	0	0.25178
4950679036_H	0.01797	0	0.00837	0.20723	0	0	0	0	0.05014	0	0.13587	0	0.28374	0.0036	0.01442	0	0	0.01577	0	0	0	0.26288
4950679036_I	0	0.00547	0.00387	0.27332	0	0.04767	0	0	0	0	0.14383	0	0.29924	0.01267	0.01016	0	0	0.0121	0	0	0	0.19167
4950679036_J	0	0.00156	0.0036	0.24293	0	0.01514	0	0	0	0	0.15469	0	0.29918	0.03413	0.01029	0	0	0.00404	0	0	0	0.23444
4950679036_K	0.00184	0	0.00018	0.33355	0	0	0	0	0	0	0.15525	0	0.26201	0	0.02644	0	0	0.0195	0	0	0	0.20125
4950679036_L	0.00756	0.00853	0	0.30377	0	0	0	0	0	0	0.16476	0	0.30521	0	0.02016	0	0	0.01432	0	0	0	0.1757
5125398041_D	0.01151	0	0.00955	0.04818	9.00E-04	0	0	0	0	0.14696	0.03161	0	0.28155	0.03881	0.00109	0	0	0.01997	0.00359	0	0	0.40627
5125398041_J	0	0	0	0	0	0	0	0	0	0.07692	0.07948	0	0.28433	0.21846	0	0	0	0	0.008	0	0	0.3328
5125398041_K	0.00324	0	0	0.0328	0	0	0	0	0	0.08717	0.10113	0	0.37806	0.06198	0	0	0	0	0.01092	0	0	0.32471
5125398046_E	0	0	0	0	0	0	0	0	0	0.06179	0.0656	0	0.25458	0.17332	0	0	0	0	0.02859	0	0	0.41612
5125398046_F	0	0.00377	0	0	0	0	0	0	0	0.08891	0.05165	0	0.27283	0.13626	0	0	0	0	0.02395	0	0	0.42262
5125398046_G	0.00269	0	0.01585	0	0.00833	0	0	0	0	0.00603	0.08233	0	0.28123	0.2235	0	0	0	0	0.02156	0	0	0.35847
5125398047_A	0	0	0	0	0	0	0	0	0	0.12099	0.10078	0	0.29328	0.04274	0	0	0	0	0.01095	0	0	0.43127
5125398047_B	0	0	0	0	0	0	0	0	0	0.09158	0.09377	0	0.30782	0.10679	0	0	0	0	0.0099	0	0	0.39014
5125398047_C	0	0	0	0.12166	0	0.02241	0	0	0	0.04249	0.06462	0	0.42058	0.0591	0	0	0	0.00369	0.00074	0	0	0.26472
5125398047_D	0.00377	0.00986	0.00641	0.16356	0	0	0	0	0	0.04865	0.08285	0	0.33113	0.03136	0.0081	0	0	0.00337	0.01958	0	0.00498	0.28637
5125398047_E	0.00326	0.00376	0.00839	0.20718	0	0	0	0	0	0.00646	0.1149	0	0.3435	0.03843	0.00701	0	0	0	0.01559	0	0.00969	0.24183
5125398047_F	0	0	0.01834	0.11306	0	0	0	0	0	0.06252	0.08542	0	0.3436	0.09419	0.00439	0	0	0	0.01331	0	0	0.26517
5125398047_G	0	0	0	0	0	0	0	0	0	0.19003	0.03801	0	0.36481	0.20417	0.006	0	0	0	0.01096	0	0	0.18602
5125398047_H	0.00238	0.00821	0.03486	0.00949	0	0	0	0	0	0.10196	0.06857	0	0.21595	0.01084	0.00896	0	0	0.02722	0	0	0	0.51155
5125398047_I	0	0	0.03932	0.04974	0	0	0	0	0	0.05718	0.06662	0	0.27355	0.03033	0.00941	0	0	0.01422	0	0	0	0.45964
5125398047_J	0	0	0.04212	0.07609	0	0	0	0	0	0.05894	0.09578	0	0.17249	0.08157	2.00E-04	0	0	0	0	0	0	0.47282
5445295006_D	0.01518	0	0	0.00495	0	0	0	0	0	0.10269	0.08806	0	0.23954	0.17581	0	0	0	0	0.00802	0	0	0.36574
5445295006_F	0.02368	0.00579	0.00983	0.18836	0	0	0	0	0	0	0.11449	0	0.30547	0.12162	0	0	0	0	0.00561	0	0	0.22516
5445295006_G	0	0	0	0.00129	0	0	0	0	0	0.06841	0.05291	0	0.35902	0.27479	0	0	0	0	0	0	0	0.24358
5445295006_H	0.01581	0	0	0	0	0	0	0	0	0.05206	0.08033	0	0.30659	0.20584	0	0	0	0	0.01792	0	0	0.32146
5445295006_L	0	0	0	0	0	0	0	0	0	0.07518	0.05606	0	0.29579	0.1614	0	0	0	0	0.00504	0	0	0.40652
5445295021_H	0.01516	0	0.02385	0.11535	0	0	0	0	0	0.12242	0.02898	0	0.23469	0.04088	0.00564	0	0	0.00716	0.01284	0	0	0.39304
5445295021_I	0	0	0.02074	0.17775	0	0.0111	0	0	0	0.10319	0.05669	0	0.25066	0.01827	0.00163	0	0	0.00523	0.02283	0	0	0.33192
5445295021_J	0	0	0.03131	0.16293	0	0.02009	0	0	0	0.03541	0.07414	0	0.25749	0.04022	0.00795	0	0	0.0177	0.01013	0	0	0.34263
5445295021_K	0.03779	0	0.01922	0.15698	0	0.03317	0	0	0	0.02284	0.09163	0	0.17644	0.04898	0.00587	0	0	0.01926	0.00473	0	0	0.3831
5445295021_L	0.01601	0.02103	0.06034	0.19944	0	0	0	0	0	0.0061	0.10355	0	0.32912	0.06064	0	0	0	0	0	0	0	0.20378
5445295025_B	0.01691	0	0.01678	0.01156	0.05296	0	0	0	0	0.01387	0.04962	0	0.31988	0.26825	0	0	0	0	0	0	0	0.25018
5445295025_C	0.02614	0	0.05082	0.08113	0.07237	0	0	0	0.01186	0	0.06827	0	0.34587	0.15325	0	0	0	0	0.00173	0	0	0.18856
5445295025_D	0.00842	0	0	0.021	0.02372	0	0	0	0	0.0985	0.09569	0	0.23666	0.13802	0	0	0	0	0.00344	0	0	0.37455
5445295025_E	0.04649	0	0.00446	0.19902	0	0	0	0	0	0	0.11658	0	0.31677	0.07396	0	0	0	0	0.00606	0	0	0.23666
5445295025_F	0.00123	0.02406	0.00929	0.20002	0	0	0	0	0	0	0.14064	0	0.30571	0.09951	0.00437	0	0	0	0.01563	0	0	0.19953
5445295025_G	0.00301	0.00674	0.06993	0.19612	0	0	0	0	0	0	0.14148	0	0.2871	0.10457	0.00225	0	0	0	0.02643	0	0.00434	0.15803
5445295025_H	0.00655	0	0.07076	0.12006	0	0	0	0	0	0	0.12696	0	0.32212	0.16236	0	0	0	0	0.03724	0	0	0.15394
5445295027_A	0	0.03691	0.05509	0.16057	0	0	0	0	0	0.03199	0.08099	0	0.32249	0.08252	0	0	0	0	0	0	0	0.22944
5445295027_B	0	0.02969	0.05852	0.17413	0	0	0	0	0	0.06761	0.07217	0	0.31963	0.07654	0.01142	0	0	0	0	0	0	0.19029
5445295027_C	0.00201	0.05083	0.07537	0.22679	0	0	0	0	0	4.00E-04	0.08919	0	0.31259	0.05062	0.00392	0	0	0	0.00046	0	0.00273	0.18507
5445295027_D	0	0.06309	0.07349	0.23283	0	0	0	0	0	0	0.09779	0	0.32307	0.0437	0	0	0	0	0.00801	0	0	0.15804
5445295027_L	0.02358	0	0	0.281	0	0	0.05806	0	0	0.00532	0.27338	0	0.2492	0.01141	0.02401	0	0	0.00432	0.00532	0	0	0.06439
5447354008_A	0	0	0	0	0	0	0	0	0	0.04928	0.06008	0	0.21396	0.33176	0	0	0	0	0	0.00665	0	0.33827
5447354008_B	0	0	0	0	0	0	0	0	0	0.05996	0.05968	0	0.28337	0.27048	0	0	0	0	0.0053	0	0	0.3212
5447354008_C	0	0	0	0.05279	0	0	0	0	0	0.0763	0.10047	0	0.35876	0.1402	0	0	0	0	0.00207	0	0	0.26939
5447354008_D	0	0.0057	0.00162	0.05377	0	0	0	0	0	0.05807	0.10293	0	0.37374	0.14416	0	0	0	0	0.00477	0	0	0.25523
5447354008_E	0	0	0	0	0	0	0	0	0	0.1183	0.08966	0	0.30772	0.22985	0	0	0	0	0.0054	0	0	0.24907
5447354008_F	0.02013	0	0.00506	0.02887	0.03472	0	0	0	0	0.05616	0.05162	0	0.36023	0.06771	0	0	0	0	0	0	0	0.37551
5447354008_G	0.02914	0	0	0.03628	0.02904	0	0	0	0	0.08587	0.02559	0	0.34449	0.07807	0	0	0	0	0	0	0	0.37152
5447354008_H	0.0395	0	0.00135	0.18303	0	0	0	0	0	0.00152	0.08059	0	0.33465	0.06763	0.00324	0	0	0.00052	0	0	0	0.28797
5447354008_I	0.01206	0	0.0086	0.07128	0	0	0	0	0	0.11929	0.05313	0	0.3325	0.10483	0.00062	0	0	0	0.00062	0	0	0.29709
5447354008_J	0.00705	0	0.01285	0.10567	0	0	0	0	0	0.08722	0.06942	0	0.33197	0.07343	0.00058	0	0	0	0.00776	0	0	0.30407
5447354008_K	0	0	0	0	0	0	0	0	0	0.07725	0.05086	0	0.30956	0.08965	0	0	0	0.00172	0.00642	0	0	0.46454
5447354008_L	0	0	0	0	0	0	0	0	0	0.05234	0.04397	0	0.30552	0.1134	0	0	0	0	0.00139	0	0	0.48339
5447354026_A	0	0	0	0	0	0	0	0	0	0.03715	0.05181	0	0.31787	0.18462	0	0	0	0	0.00047	0	0	0.40807
5447354026_B	0	0	0.03261	0	0.00439	0	0	0	0.00125	0.05369	0.04001	0	0.31648	0.1856	0	0	0	0	0.00098	0	0	0.36498
5447354026_C	0.00018	0	0.10898	0	0.03862	0.02678	0	0	0	0.02419	0.06377	0	0.2785	0.12697	0	0	0	0	0	0	0	0.332
5447354026_D	0	0	0	0.0941	0	0	0	0	0	0.15363	0.10956	0	0.33282	0.04779	0.01417	0	0	0.00515	0.00955	0	0.00755	0.22569
5447354026_E	0	0	0	0.15576	0	0	0	0	0	0.09911	0.08901	0	0.32483	0	0.01297	0	0	0.01042	0.01234	0	0.06175	0.23382
5447354026_F	0	0	0	0.07226	0	0	0	0	0	0.14723	0.07981	0	0.2291	0.10663	0.01391	0	0	0.00055	0.0038	0	0	0.3467
5447354026_G	0	0	0.00062	0.01661	0	0	0	0	0	0.15803	0.06841	0	0.32486	0.13511	0.00159	0	0	0	0.00115	0	0	0.29361
5447354026_H	0	0	0.10098	0.1092	0	0	0	0	0	0	0.11388	0	0.31658	0.10667	1.00E-05	0	0	0	0.05223	0	0	0.20045
5447354026_I	0.00329	0	0.02366	0	0	0	0	0	0	0.08396	0.05131	0	0.29879	0.26032	0	0	0	0	0.01167	0	0	0.26701
5447354026_J	0.00326	0	0.02813	0	0	0	0	0	0	0.0959	0.04051	0	0.3712	0.18632	0	0	0	0	0.00992	0	0	0.26476
5447354026_K	0	0	0.04739	0	0.00206	0	0	0	0	0.05016	0.0627	0	0.40728	0.07484	0	0	0	0	0.01638	0	0	0.33919
5447354026_L	0	0	0.05896	0.01481	0	0	0	0	0	0.03427	0.08666	0	0.36307	0.09487	0.00226	0	0	0	0.021	0	0	0.3241
5447354040_A	0.00224	0	0	0.00477	0	0	0	0	0	0.14445	0.0729	0	0.34165	0.12491	0	0	0	0	0.01841	0	0	0.29067
5447354040_B	0	0	0	0	0	0	0	0	0	0.07449	0.05043	0	0.37107	0.23807	0	0	0	0	0.01676	0	0	0.24918
5447354040_C	0	0	0	0	0	0	0	0	0	0.0424	0.07371	0	0.31932	0.27007	0	0	0	0	0.02936	0	0	0.26513
5447354040_D	0.00556	0	0	0	0	0	0	0	0	0.01641	0.07495	0	0.32729	0.23213	0	0	0	0	0.05063	0	0	0.29303
5447354040_E	0	0	0.00407	0	0	0	0	0	0	0.0232	0.07584	0	0.34692	0.16799	0	0	0	0	0.03523	0	0	0.34676
5447354040_F	0.03807	0	0	0.11617	0	0	0	0	0.00896	0.03933	0.07285	0	0.42711	0.05606	0.00971	0	0	0.0096	0	0	0	0.22213
5447354040_G	0.0209	0	0	0.11667	0	0.0578	0	0	0	0.03818	0.06396	0	0.41006	0.02435	0.00337	0	0	0.00925	0	0	0	0.25546
5447354040_H	0.03477	0	0	0.17668	0	0	0	0	4.00E-05	0.03879	0.07744	0	0.39352	0.02355	0.00914	0	0	0.01016	0	0	0	0.23591
5447354040_I	0	0	0	0	0	0	0	0	0	0.13205	0.04313	0	0.30269	0.12746	0.001	0	0	0	0.00741	0	0	0.38625
5447354040_J	0.02283	0	0	0.05068	0	0	0	0	0	0.06943	0.04491	0	0.3554	0.12816	0.00171	0	0	0	0.00116	0	0	0.32572
5447354040_K	0.01391	0	0	0.02109	0	0	0	0	0	0.07936	0.06218	0	0.23729	0.22343	0	0	0	0	0.00347	0	0	0.35927